id,mission,magazine,frame,in_sample,icon,icon_label,lap_var,content_lap,mean_lum,clip5_frac,clip250_frac,dark_frac,bright_frac,p50,p95,p99,featureless_frac,tilt_deg,has_horizon,black_frame,underexposed,overexposed,blurry,aimless,dud,crooked,quality
AS11-40-5864,AS11,40,5864,1,0,,496.6683239406569,570.8319425894398,81.69873046875,0.0,0.0009915098852040817,0.06586316167091837,0.003213687818877551,60.0,180.0,207.0,0.1326530612244898,-7.125016348901798,1,0,0,0,0,0,0,0,-0.13296811272568707
AS11-40-5865,AS11,40,5865,1,0,,603.5557626940121,603.5557626940121,136.40079918686226,0.00038863201530612245,0.0008071588010204082,0.002062739158163265,0.0031190210459183672,143.0,183.0,199.0,0.0,-6.14662565964667,1,0,0,0,0,0,0,0,-0.0730946772188127
AS11-40-5866,AS11,40,5866,1,0,,482.4382221503141,766.7274097893588,57.106664540816325,0.0,3.487723214285714e-05,0.06127431441326531,0.0002242107780612245,32.0,163.0,193.0,0.37244897959183676,,0,0,0,0,0,0,0,0,0.18392659342074755
AS11-40-5867,AS11,40,5867,1,0,,486.1721771383772,787.060267893508,73.70952746332908,0.0,0.00022919323979591838,0.004264987244897959,0.002780213647959184,35.0,208.0,227.0,0.3826530612244898,,0,0,0,0,0,0,0,0,0.21203917886131196
AS11-40-5868,AS11,40,5868,1,0,,502.09801943229667,785.8948830956421,79.7310566804847,0.0,0.00034877232142857144,0.12862224968112246,0.0036870216836734694,45.0,216.0,232.0,0.3622448979591837,-10.72885929801005,1,0,0,0,0,0,0,1,0.210447621382681
AS11-40-5869,AS11,40,5869,1,0,,539.4396535633306,886.884993576665,72.69360849808673,0.0,0.0004185267857142857,0.0016043526785714285,0.002889827806122449,31.0,215.0,231.0,0.39285714285714285,-7.740341158837922,1,0,0,0,0,0,0,0,0.34029637145319885
AS11-40-5870,AS11,40,5870,1,0,,634.9974582000655,782.3418673194336,109.62906568877551,0.0,3.985969387755102e-05,0.0017139668367346938,0.00042849170918367346,128.0,197.0,218.0,0.18877551020408162,-3.6913859864512757,1,0,0,0,0,0,0,0,0.205580686993949
AS11-40-5871,AS11,40,5871,1,0,,144.54724359033207,258.4544824372738,48.77459841358419,0.0,0.0007672991071428571,0.4301259566326531,0.0015694754464285715,25.0,147.0,173.0,0.44387755102040816,,0,0,0,0,0,0,0,0,-0.9840476441363013
AS11-40-5872,AS11,40,5872,1,0,,606.1125584621818,698.3499820352838,73.22420579559949,0.0,0.00012456154336734694,0.14707728794642858,0.0005779655612244898,71.0,139.0,158.0,0.1326530612244898,6.301608735234843,1,0,0,0,0,0,0,0,0.08359514962749857
AS11-40-5873,AS11,40,5873,1,0,,560.2630752744599,630.0054271081303,81.98430524553571,9.964923469387754e-06,0.0001992984693877551,0.13385383450255103,0.0008071588010204082,84.0,146.0,164.0,0.11224489795918367,2.2906100426385296,1,0,0,0,0,0,0,0,-0.02702711011983356
AS11-40-5874,AS11,40,5874,1,0,,479.1525092416632,679.7035091715034,61.68182497608419,0.0,0.0005829480229591837,0.2888930963010204,0.0025261080994897957,53.0,125.0,197.0,0.29591836734693877,2.573359463176823,1,0,0,0,0,0,0,0,0.05452639913029656
AS11-40-5875,AS11,40,5875,1,1,Aldrin salutes the U.S. flag,469.25652087583785,655.6627373761547,58.875224210778065,0.0,0.0005929129464285714,0.3828224649234694,0.0027851961096938774,51.0,121.0,194.0,0.2857142857142857,9.713251024940284,1,0,0,0,0,0,0,0,0.015848384110859755
AS11-40-5876,AS11,40,5876,1,0,,580.2584526656767,580.2584526656767,152.60145288584184,0.00021424585459183673,0.0006875797193877551,0.012999242665816327,0.0015644929846938774,160.0,205.0,218.0,0.0,2.783020753856615,1,0,0,0,0,0,0,0,-0.11537590055539236
AS11-40-5877,AS11,40,5877,1,1,"Aldrin's bootprint (soil-mechanics pair, 1st)",1114.268139448701,1114.268139448701,148.03258031728316,9.964923469387754e-06,0.0006676498724489796,0.029645647321428572,0.002685546875,158.0,203.0,220.0,0.0,0.0,1,0,0,0,0,0,0,0,0.5854434764637956
AS11-40-5878,AS11,40,5878,1,1,"Aldrin's bootprint (soil-mechanics pair, 2nd)",1021.9291947509586,1021.9291947509586,145.32731784119898,4.48421556122449e-05,0.0003587372448979592,0.029266980229591837,0.0017388791454081632,155.0,201.0,218.0,0.0,4.950272234291744,1,0,0,0,0,0,0,0,0.4925289781481916
AS11-40-5879,AS11,40,5879,1,0,,475.97324663693587,493.45649131404764,139.9349988042092,0.0,0.0009267378826530613,0.07188197544642858,0.002396564094387755,157.0,194.0,216.0,0.03571428571428571,,0,0,0,0,0,0,0,0,-0.28941971225093466
AS11-40-5880,AS11,40,5880,1,0,,449.93725547478726,521.6499182302525,88.28396045918367,9.964923469387754e-06,0.0017687739158163266,0.1693488919005102,0.006362603635204082,98.0,160.0,234.0,0.1377551020408163,0.0,1,0,0,0,0,0,0,0,-0.2297413021694304
AS11-40-5881,AS11,40,5881,1,0,,620.1884246491879,845.6951576749925,118.22743443080357,2.9894770408163265e-05,2.9894770408163265e-05,0.26206253985969385,0.00045838647959183676,133.0,214.0,221.0,0.27040816326530615,10.591527747971378,1,0,0,0,0,0,0,1,0.28921673400178916
AS11-40-5882,AS11,40,5882,1,0,,223.55127368532882,429.2070988965565,97.5279615752551,0.0003089126275510204,0.00045340401785714287,0.4262844786352041,0.00588428730867347,122.0,212.0,236.0,0.4846938775510204,-6.254032743916468,1,0,0,0,0,0,0,0,-0.439249555185481
AS11-40-5883,AS11,40,5883,1,0,,240.13237522024258,503.67563501288123,98.27079181281887,0.0,0.0003736846301020408,0.00010463169642857142,0.0010762117346938774,30.0,216.0,223.0,0.5255102040816326,-3.772283609379837,1,0,0,0,0,0,0,0,-0.2674033155195285
AS11-40-5884,AS11,40,5884,1,0,,400.5652852806883,800.6960019901462,96.23195850605867,0.0,6.477200255102041e-05,2.9894770408163265e-05,0.0004982461734693878,30.0,210.0,220.0,0.5,-1.5174141250121362,1,0,0,0,0,0,0,0,0.23048825419838326
AS11-40-5885,AS11,40,5885,1,0,,517.9000921196761,1045.9751545656422,68.76995475924745,0.0,4.982461734693877e-06,0.00027901785714285713,0.0003089126275510204,28.0,166.0,185.0,0.5051020408163265,-10.548065418142127,1,0,0,0,0,0,0,1,0.517509441255191
AS11-40-5886,AS11,40,5886,1,0,,250.36854787269564,626.9496829616326,48.74271564094388,0.0,4.982461734693877e-06,0.3379703443877551,0.00021424585459183673,28.0,134.0,164.0,0.6020408163265306,-19.508508986808124,1,0,0,0,0,0,0,1,-0.032249476246045204
AS11-40-5887,AS11,40,5887,1,0,,492.06303289757324,497.10440621184466,111.57502092633929,0.0005530532525510204,0.0003089126275510204,0.0037318638392857145,0.0007174744897959184,118.0,163.0,175.0,0.01020408163265306,-1.2060487792199577,1,0,0,0,0,0,0,0,-0.2815086514763758
AS11-40-5888,AS11,40,5888,1,0,,1261.6536095779868,1314.8357927193463,140.09612663424744,0.0,3.985969387755102e-05,0.029002909757653062,0.0005580357142857143,151.0,215.0,228.0,0.04081632653061224,10.587321318237134,1,0,0,0,0,0,0,1,0.7632197948089928
AS11-40-5889,AS11,40,5889,1,0,,1004.7527483572865,1286.7986418603755,117.29696966677295,0.0,1.992984693877551e-05,3.985969387755102e-05,0.00023417570153061223,132.0,210.0,223.0,0.2193877551020408,6.0724564072077,1,0,0,0,0,0,0,0,0.7400685866709518
AS11-40-5890,AS11,40,5890,1,0,,1033.2106989562785,1233.1458196413082,123.0673529177296,0.0,8.470184948979592e-05,0.0002939652423469388,0.0005480707908163265,144.0,207.0,225.0,0.16326530612244897,-4.398705354995532,1,0,0,0,0,0,0,0,0.6943243400683191
AS11-40-5891,AS11,40,5891,1,0,,676.8908519635395,941.8141066179469,128.774169921875,0.0,9.964923469387755e-05,0.0017737563775510204,0.0007623166454081633,158.0,217.0,225.0,0.2857142857142857,9.381510160748238,1,0,0,0,0,0,0,0,0.40484101966006203
AS11-40-5892,AS11,40,5892,1,0,,435.1236667208054,458.0414924395541,63.90942881058673,0.0,0.0003537547831632653,0.0901676100127551,0.001016422193877551,63.0,113.0,189.0,0.05102040816326531,-8.66738717995549,1,0,0,0,0,0,0,0,-0.36941221219566006
AS11-40-5893,AS11,40,5893,1,0,,146.28306241454507,299.53824935471005,34.230877311862244,0.0,0.00023417570153061223,0.6284777582908163,0.0007623166454081633,23.0,107.0,161.0,0.5204081632653061,18.958183405106194,1,0,0,0,0,0,0,1,-0.8255956966585343
AS11-40-5894,AS11,40,5894,1,0,,213.45966729833304,380.4577595585822,62.88666394292092,0.0,2.491230867346939e-05,0.0,0.00026407047193877553,55.0,110.0,186.0,0.4489795918367347,-17.604633336664,1,0,0,0,0,0,0,1,-0.5687461371288384
AS11-40-5895,AS11,40,5895,1,0,,419.3893504140775,1184.6742550295658,53.46410634566327,0.0,1.4947385204081632e-05,4.48421556122449e-05,0.00023915816326530612,35.0,170.0,205.0,0.6479591836734694,0.0,1,0,0,0,0,0,0,0,0.6512527910230742
AS11-40-5896,AS11,40,5896,1,0,,390.84085523898483,1312.8871025531669,52.52226662149235,0.0,3.985969387755102e-05,0.0,0.00048828125,43.0,131.0,192.0,0.7040816326530612,5.440332031005506,1,0,0,0,0,0,0,0,0.7616267332882117
AS11-40-5897,AS11,40,5897,1,0,,299.02669163017856,331.4936109248025,63.96738978794643,0.0,0.002884845344387755,0.0010413345025510204,0.009107940051020409,38.0,197.0,239.0,0.10204081632653061,0.0,1,0,0,0,0,0,0,0,-0.7167194010983771
AS11-40-5898,AS11,40,5898,1,0,,311.3879092068088,350.8555569509654,62.591876594387756,0.0,0.0021723533163265306,0.0017040019132653062,0.007264429209183673,37.0,195.0,236.0,0.11734693877551021,-2.539680450340699,1,0,0,0,0,0,0,0,-0.6557477187058498
AS11-40-5899,AS11,40,5899,1,0,,305.2498568304873,319.516209512522,69.90817821269133,4.982461734693877e-06,0.0020129145408163264,0.12098911830357142,0.004977479272959184,45.0,198.0,231.0,0.04591836734693878,-0.5070290609147756,1,0,0,0,0,0,0,0,-0.7562463519391265
AS11-40-5900,AS11,40,5900,1,0,,274.44629956086146,364.170971468722,48.699442960778065,0.0,0.0026656170280612247,0.00027901785714285713,0.004683514030612245,33.0,138.0,223.0,0.25,-6.048506661000621,1,0,0,0,0,0,0,0,-0.6157392448007605
AS11-40-5901,AS11,40,5901,1,0,,338.86044329625776,424.8894195316812,60.28255540497449,0.0,0.00029894770408163266,0.2746631855867347,0.0008221061862244898,37.0,145.0,173.0,0.20408163265306123,,0,0,0,0,0,0,0,0,-0.45010921887054944
AS11-40-5902,AS11,40,5902,1,0,,595.2242708503084,719.3798257634146,70.63581194196429,0.0,2.491230867346939e-05,0.3240443638392857,0.0003637197066326531,64.0,158.0,181.0,0.17346938775510204,-4.59425333126639,1,0,0,0,0,0,0,0,0.1154623323420124
AS11-40-5903,AS11,40,5903,1,1,Aldrin portrait ('the visor shot'),478.1256193384832,501.0853103007821,90.3272480867347,9.964923469387754e-06,0.00029894770408163266,0.12357003348214286,0.0014399314413265306,97.0,160.0,187.0,0.04591836734693878,-15.446316367692557,1,0,0,0,0,0,0,1,-0.2729414266301962
AS11-40-5904,AS11,40,5904,1,0,,174.76238305347255,251.8882525471755,168.3123156489158,0.0002242107780612245,0.0006875797193877551,0.010039660395408163,0.0010861766581632653,179.0,214.0,220.0,0.3163265306122449,0.0,1,0,0,1,0,0,1,0,-3.0116882369362683
AS11-40-5905,AS11,40,5905,1,0,,335.67341969619935,431.12375007701877,91.7414849728954,0.0,0.000284000318877551,0.005012356505102041,0.0012456154336734694,110.0,150.0,158.0,0.22448979591836735,,0,0,0,0,0,0,0,0,-0.4344638323452492
AS11-40-5906,AS11,40,5906,1,0,,287.91962651695525,467.4590697844161,102.85440250318878,0.001833545918367347,0.0004235092474489796,0.40578164859693877,0.005231584821428571,124.0,222.0,237.0,0.3877551020408163,,0,0,0,0,0,0,0,0,-0.34755238429115504
AS11-40-5907,AS11,40,5907,1,0,,256.4015693523297,375.03076997893146,130.42675283003825,0.0,0.0003138950892857143,0.06675003985969388,0.001220703125,171.0,215.0,222.0,0.32142857142857145,,0,0,0,0,0,0,0,0,-0.5841776257394778
AS11-40-5908,AS11,40,5908,1,0,,276.6387681384873,400.7526239112906,140.0131238042092,0.0,0.00030393016581632654,0.3076719945790816,0.0013203523596938774,185.0,221.0,228.0,0.3163265306122449,0.0,1,0,0,0,0,0,0,0,-0.5129267434106443
AS11-40-5909,AS11,40,5909,1,0,,829.1312516660106,961.4502768757789,148.0055554448342,0.0,8.96843112244898e-05,0.00025908801020408165,0.001136001275510204,174.0,218.0,228.0,0.1377551020408163,-22.97694450318875,1,0,0,0,0,0,0,1,0.4270047224602165
AS11-40-5910,AS11,40,5910,1,0,,1590.183948375021,1855.1465405566016,121.15371392697705,0.0,3.985969387755102e-05,7.473692602040816e-05,0.00038863201530612245,134.0,203.0,218.0,0.14285714285714285,3.964654722856123,1,0,0,0,0,0,0,0,1.1329761067357615
AS11-40-5911,AS11,40,5911,1,0,,1060.3997922791436,1236.8762992547145,139.86217016103316,0.0,2.9894770408163265e-05,0.02166374362244898,0.0013851243622448979,157.0,217.0,230.0,0.14285714285714285,0.0,1,0,0,0,0,0,0,0,0.6975687326403657
AS11-40-5912,AS11,40,5912,1,0,,1356.2405759097387,1356.2405759097387,159.03124501753825,0.00047831632653061223,7.473692602040816e-05,0.025355747767857144,0.0009416852678571429,170.0,217.0,228.0,0.0,1.576550055183732,1,0,0,0,0,0,0,0,0.7965216354272209
AS11-40-5913,AS11,40,5913,1,0,,921.6305457786042,1087.8987842070587,136.88918506855867,0.0,0.00010463169642857142,4.982461734693878e-05,0.003537547831632653,159.0,224.0,236.0,0.15306122448979592,12.242331198874437,1,0,0,0,0,0,0,1,0.5597194307060908
AS11-40-5914,AS11,40,5914,1,0,,430.3576775623679,530.4655185938022,89.90757533482143,0.0,0.00010463169642857142,0.23479850924744897,0.0005181760204081633,103.0,157.0,173.0,0.18877551020408162,0.0,1,0,0,0,0,0,0,0,-0.2117414928357929
AS11-40-5915,AS11,40,5915,1,0,,504.67850034577503,601.9702631207465,84.89798907844387,0.0,0.0003288424744897959,0.21406150350765307,0.0014000717474489796,96.0,151.0,188.0,0.16326530612244897,-11.491439088113383,1,0,0,0,0,0,0,1,-0.07591994117412397
AS11-40-5916,AS11,40,5916,1,0,,374.8193522667398,492.0262249936328,84.63248365752551,0.0,0.000244140625,0.2889827806122449,0.0015595105229591836,91.0,165.0,192.0,0.23979591836734693,-11.990834979039251,1,0,0,0,0,0,0,1,-0.29253743466139426
AS11-40-5917,AS11,40,5917,1,0,,621.2412934940788,658.0090232475453,92.56790597098214,0.0,0.0004235092474489796,0.15638950892857142,0.0025460379464285715,107.0,153.0,210.0,0.05612244897959184,1.8676788394341723,1,0,0,0,0,0,0,0,0.019685136415310025
AS11-40-5918,AS11,40,5918,1,0,,565.0024781491,589.0127312248786,100.28274972098214,0.0,0.00027403539540816324,0.12648975605867346,0.001908282844387755,113.0,153.0,205.0,0.04081632653061224,,0,0,0,0,0,0,0,0,-0.09929232997184674
AS11-40-5919,AS11,40,5919,1,0,,312.0103765301583,398.4784077995076,61.25106126434949,0.0,0.00013950892857142856,0.31545459980867346,0.0008470184948979591,45.0,135.0,191.0,0.2193877551020408,,0,0,0,0,0,0,0,0,-0.5190393972998851
AS11-40-5920,AS11,40,5920,1,0,,353.26755353829503,400.8191678659409,98.21033960459184,0.0,4.48421556122449e-05,0.15133729272959184,0.00034378985969387755,110.0,153.0,185.0,0.12244897959183673,5.370994695535706,1,0,0,0,0,0,0,0,-0.5127484088885927
AS11-40-5921,AS11,40,5921,1,0,,497.1610310944305,589.3382289492043,88.73689114317602,0.0,0.0012555803571428572,9.466677295918367e-05,0.00792709661989796,85.0,172.0,236.0,0.15816326530612246,-11.424067342001086,1,0,0,0,0,0,0,1,-0.09869893679642044
AS11-40-5922,AS11,40,5922,1,0,,388.63895821479497,509.30608321728937,56.36943957270408,0.0,4.48421556122449e-05,0.29825015943877553,0.0004932637117346938,35.0,147.0,211.0,0.23979591836734693,-4.84400037508068,1,0,0,0,0,0,0,0,-0.255463020091831
AS11-40-5923,AS11,40,5923,1,0,,161.22636372891134,520.8671065764958,60.229806082589285,0.0,0.00026905293367346936,0.4626415019132653,0.002436423788265306,25.0,216.0,226.0,0.6938775510204082,,0,0,0,0,0,0,0,0,-0.23135433589461946
AS11-40-5924,AS11,40,5924,1,0,,271.23311912152036,492.9102448943151,77.45343391262755,0.0,0.0010911591198979591,0.3465053013392857,0.003138950892857143,35.0,216.0,223.0,0.45408163265306123,15.488501442909683,1,0,0,0,0,0,0,1,-0.29060936296499046
AS11-40-5925,AS11,40,5925,1,0,,598.6243103213828,626.1301179660217,109.40922452965562,0.00012954400510204082,8.470184948979592e-05,0.037806919642857144,0.0018584582270408164,116.0,154.0,203.0,0.04591836734693878,12.91294075385105,1,0,0,0,0,0,0,1,-0.03365446863986526
AS11-40-5926,AS11,40,5926,1,0,,657.636992479453,670.7068758602771,105.6223443478954,0.0,0.0005231584821428571,0.0602180325255102,0.002316844706632653,112.0,162.0,201.97000000000116,0.02040816326530612,-8.841814560191672,1,0,0,0,0,0,0,0,0.0402147422503821
AS11-40-5927,AS11,40,5927,1,0,,368.9591466465973,587.2942771885351,77.41695232780613,0.0,4.48421556122449e-05,0.2727100605867347,0.0022122130102040817,82.0,162.0,218.0,0.37755102040816324,0.0,1,0,0,0,0,0,0,0,-0.10243057453081708
AS11-40-5928,AS11,40,5928,1,0,,376.98821445899654,672.0120144295398,91.18929073033708,0.0,0.0023374799357945425,0.006119582664526484,0.008386837881219904,99.0,183.0,235.0,0.5054945054945055,,0,0,0,0,0,0,0,0,0.0423027922866962
